산업분류,국가,2017,2018,2019,2020,2021,2022
식품,미국,75671867,77016881,77795306,76842435,86656855,92452169
육가공,미국,18174628,19017805,19343465,19740629,24130511,25490661
수산가공,미국,3870120,3591245,3323931,2763139,3214665,3589312
유가공,미국,4455923,4568782,4986742,5494499,6558705,8024446
과채가공,미국,17530529,17215772,17729154,16789715,17683673,17580885
식용유지,미국,3134568,2969615,2905814,3289527,3780194,3686528
곡물가공,미국,4947474,5240638,5230998,5376031,5453355,5831277
빵·떡및과자,미국,3520866,3520404,3566178,3368137,3695012,4131442
면류,미국,345270,336468,349731,375087,392951,438997
식품첨가물,미국,2042884,2031031,2069883,2009409,2248038,2454364
기타식료품,미국,9142268,9543364,9876211,9622403,10734173,11013656
알콜음료,미국,7118108,7597639,6974574,6558056,7177550,8699203
비알콜음료,미국,1389229,1384118,1438625,1455803,1588028,1511398
식품,일본,574048071,656381245,670619003,713990412,884212021,1013665333
육가공,일본,23021981,28730369,33618242,34130049,58795469,56374339
수산가공,일본,193943385,210142881,197033137,171824843,214916241,272427072
유가공,일본,6340488,6748206,7257311,8596350,11135234,17269453
과채가공,일본,16321781,18801364,21052897,23701035,29567210,32626123
식용유지,일본,14932233,19034680,18203526,18135976,19837079,28318165
곡물가공,일본,23514544,28397960,31244877,32782049,36861645,41850410
빵·떡및과자,일본,55668440,59480132,58301342,56091344,72849543,82909742
면류,일본,14543751,15598346,16225225,19565882,20481504,22392769
식품첨가물,일본,44614486,48793448,49846072,52527268,62505607,68565901
기타식료품,일본,100877201,129213969,139975614,190342346,200614423,202246528
알콜음료,일본,54610095,61996392,66185581,71153523,114794026,139399363
비알콜음료,일본,25659686,29443498,31675179,35139747,41854040,49285468
식품,유럽연합,364063966,365750882,383458149,360166057,398090525,470072226
육가공,유럽연합,57289688,56716252,61428553,58692555,61678142,73343479
수산가공,유럽연합,15155077,15296567,15488999,14382737,15434849,17855929
유가공,유럽연합,47361029,47452254,49808422,47522572,51640371,64215663
과채가공,유럽연합,46633328,47435261,49181302,49370439,51367901,58191824
식용유지,유럽연합,21798651,20087358,19526373,18827355,26550920,30214177
곡물가공,유럽연합,14362627,14480690,15288925,14585119,15831441,20197031
빵·떡및과자,유럽연합,36579424,36717139,39522380,37653951,42057085,48404872
면류,유럽연합,3945274,4096202,4473823,5085657,5150326,6639878
식품첨가물,유럽연합,6680297,6947716,7314398,7483267,8297300,10000844
기타식료품,유럽연합,50338258,50268168,51143927,49136828,52737894,63823303
알콜음료,유럽연합,52103752,53562652,56872134,45035362,53098353,60692041
비알콜음료,유럽연합,11816561,12690623,13408913,12390215,14245943,16493185
식품,중국,48036485,50584039,48588626,46506498,52726036,56567826
육가공,중국,2772212,2809265,2585864,2199013,2536638,2884131
수산가공,중국,14603686,15097369,13565196,12821189,15010301,15192635
유가공,중국,97805,110108,85935,100988,125519,119727
과채가공,중국,16244953,16955067,15974052,15213217,16257010,17317152
식용유지,중국,526546,638316,614776,629947,1011383,1345179
곡물가공,중국,1852547,2163452,2422000,2201261,2404872,2716001
빵·떡및과자,중국,1668469,1785904,1924007,1734504,2069454,2476246
면류,중국,865320,923382,929866,980277,1052892,1195685
식품첨가물,중국,1910276,2122816,2282000,2697337,3266937,3484294
기타식료품,중국,5134317,5429811,5895973,5812709,6771303,7285651
알콜음료,중국,1475252,1626618,1358164,1253245,1258351,1586155
비알콜음료,중국,885102,921931,950793,862811,961376,964970
